DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
4,0,1,10,28.834787,41.017739,28.959206,41.024611,28.834787,41.017739,60.000000,586.595000,646.595000,1194.175000
2,0,7,10,28.834787,41.017739,28.797390,40.973078,28.834787,41.017739,180.000000,600.435000,660.435000,1142.480000
1,0,3,10,28.834787,41.017739,28.825400,41.069039,28.834787,41.017739,240.000000,578.585000,638.585000,936.655000
3,0,9,10,28.834787,41.017739,28.947194,41.018725,28.834787,41.017739,120.000000,571.535000,631.535000,1112.480000
