DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
3,0,3,1,29.226936,40.898724,29.270319,40.937479,29.244091,40.980026,60.000000,464.345000,524.345000,1012.470000
3,1,4,2,29.244091,40.980026,29.262520,40.975326,29.155556,41.041249,1072.470000,1260.515000,1320.515000,2220.460000
2,2,7,9,29.155556,41.041249,28.973859,41.023961,28.907790,41.008608,2310.460000,3033.160000,3093.160000,3856.920000
2,1,8,2,29.244091,40.980026,29.283797,40.967855,29.155556,41.041249,1162.470000,1489.550000,1549.550000,2250.460000
