DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
3,0,9,10,28.834787,41.017739,28.947194,41.018725,28.834787,41.017739,120.000000,571.535000,631.535000,1164.175000
2,0,7,10,28.834787,41.017739,28.797390,40.973078,28.834787,41.017739,208.600000,629.035000,689.035000,1134.175000
0,0,1,10,28.834787,41.017739,28.959206,41.024611,28.834787,41.017739,60.000000,586.595000,646.595000,1194.175000
1,0,3,10,28.834787,41.017739,28.825400,41.069039,28.834787,41.017739,318.920000,657.505000,717.505000,1015.575000
