DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
1,2,5,4,29.282735,40.951153,29.097164,41.110738,29.100958,41.039687,1102.230000,1931.570000,1991.570000,2576.670000
1,4,6,3,29.100958,41.039687,28.941664,41.008078,28.965446,41.005001,2636.670000,3248.205000,3308.205000,3883.850000
0,2,1,4,29.282735,40.951153,29.193630,41.013466,29.100958,41.039687,1042.230000,1570.265000,1630.265000,2456.670000
0,4,7,3,29.100958,41.039687,28.843642,41.038988,28.965446,41.005001,2516.670000,3316.705000,3376.705000,3943.850000
