
Gurobi 9.5.0 (win64) logging started Tue Apr  5 17:50:01 2022

Set parameter LogFile to value "..\NewModel\Data_10_5_1\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 15732 rows, 4225 columns and 410396 nonzeros
Model fingerprint: 0x6dcad8e1
Variable types: 158 continuous, 4067 integer (4067 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [9e-01, 1e+05]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+05]
Found heuristic solution: objective 983933.55536
Presolve added 0 rows and 27 columns
Presolve removed 1975 rows and 0 columns
Presolve time: 0.83s
Presolved: 13757 rows, 4252 columns, 238503 nonzeros
Variable types: 140 continuous, 4112 integer (4112 binary)

Root relaxation: objective 1.230968e+05, 642 iterations, 0.10 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 38215  2934 123096.779  100   12 132177.014 123096.779  6.87%  75.0  275s
 38263  2971 123096.779   52   31 132177.014 123096.779  6.87%  75.3  280s
 38555  3018 infeasible   59      132177.014 123096.779  6.87%  75.1  285s
 39281  2956 123096.779   65   56 132177.014 123096.779  6.87%  74.7  290s
 40060  3038 123096.779   75   47 132177.014 123096.779  6.87%  74.6  296s
 40609  3183 123096.779   67   13 132177.014 123096.779  6.87%  74.8  301s
 41595  3038 infeasible   77      132177.014 123096.779  6.87%  74.8  307s
 42024  3055 123096.779   88   27 132177.014 123096.779  6.87%  75.1  310s
 43208  2861 123096.779   83   23 132177.014 123096.779  6.87%  75.0  316s
 44422  2594 123096.779   58   27 132177.014 123096.779  6.87%  74.7  322s
 45195  2409 123096.779   88   36 132177.014 123096.779  6.87%  74.6  326s
 46519  2086 infeasible   77      132177.014 123096.779  6.87%  74.6  332s
 47350  1917 123096.779   96   29 132177.014 123096.779  6.87%  74.6  337s
 48309  1931 infeasible   94      132177.014 123096.779  6.87%  74.4  341s
 49067  1984 126491.354   73   29 132177.014 123096.779  6.87%  74.8  345s
 49775  2011 123096.779   73   47 132177.014 123096.779  6.87%  74.6  351s
 50598  2008 infeasible  109      132177.014 123096.779  6.87%  74.8  356s
 51294  2086 infeasible   91      132177.014 123096.779  6.87%  75.2  378s
 52230  2134 123096.779   66   25 132177.014 123096.779  6.87%  75.7  382s
 52809  2191 127013.399   66   42 132177.014 123096.779  6.87%  76.0  388s
 53900  2219 123096.779   78   20 132177.014 123096.779  6.87%  76.3  393s
 54782  2223 124171.669   86   49 132177.014 123096.779  6.87%  76.6  399s
 55749  2281 123096.779   70   21 132177.014 123096.779  6.87%  76.7  404s
 56762  2320 124181.628   76   28 132177.014 123096.779  6.87%  76.8  410s
 57516  2366 infeasible   91      132177.014 123096.779  6.87%  77.1  415s
 58468  2447 124256.550   75   14 132177.014 123096.779  6.87%  77.3  420s
 59366  2548 infeasible   86      132177.014 123096.779  6.87%  77.4  426s
 60456  2715 123096.779   69   40 132177.014 123096.779  6.87%  77.6  432s
 61568  2722 infeasible   75      132177.014 123096.779  6.87%  77.6  437s
 62534  2806 infeasible   68      132177.014 123096.779  6.87%  77.6  442s
 63668  2879 124171.627   71   43 132177.014 123096.779  6.87%  77.5  448s
 64515  2932 infeasible   80      132177.014 123096.779  6.87%  77.7  454s
 65553  2974 infeasible   72      132177.014 123096.779  6.87%  77.8  459s
 66307  3079 infeasible   79      132177.014 123096.779  6.87%  77.7  465s
 67373  3110     cutoff  130      132177.014 123096.779  6.87%  77.7  470s
 68037  3194 123096.779   64   43 132177.014 123096.779  6.87%  77.9  476s
 68953  3214 infeasible   82      132177.014 123096.779  6.87%  78.0  481s
 69937  3250 123096.779   80   22 132177.014 123096.779  6.87%  77.9  487s
 70925  3322 123096.779   58   23 132177.014 123096.779  6.87%  78.1  492s
 71867  3396 infeasible   72      132177.014 123096.779  6.87%  78.1  497s
 72826  3394 123096.779   81   13 132177.014 123096.779  6.87%  78.2  503s
 73584  3478 123096.779   81   43 132177.014 123096.779  6.87%  78.5  508s
