DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
3,7,8,5,29.109232,41.124963,28.953842,41.018752,29.011909,41.082770,1804.900000,2679.930000,2739.930000,3203.440000
1,7,4,5,29.109232,41.124963,29.167862,41.205026,29.011909,41.082770,1744.900000,2337.235000,2397.235000,3233.440000
2,7,6,5,29.109232,41.124963,29.162126,41.176382,29.011909,41.082770,1864.900000,2328.105000,2388.105000,3145.870000
0,5,2,10,29.011909,41.082770,29.227840,40.987467,29.035352,40.986610,3085.870000,3768.035000,3828.035000,4537.435000
