DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
1,7,4,10,28.820287,41.039158,28.951533,41.024870,28.708302,41.028654,1428.590063,1993.675063,2053.675063,2952.790078
2,7,8,10,28.820287,41.039158,28.853122,41.022436,28.708302,41.028654,1608.589968,1881.344968,1941.344968,2982.789843
0,7,6,10,28.820287,41.039158,28.899415,40.992468,28.708302,41.028654,1518.590063,2024.795063,2084.795063,2922.790078
0,0,3,7,28.708302,41.028654,28.763392,41.036689,28.820287,41.039158,60.000063,589.100063,649.100063,1458.590063
