DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
4,0,8,3,29.226936,40.898724,29.283797,40.967855,29.270319,40.937479,240.000000,831.340000,891.340000,1233.240000
1,0,4,3,29.226936,40.898724,29.262520,40.975326,29.270319,40.937479,120.000000,596.735000,656.735000,1078.690000
2,0,2,3,29.226936,40.898724,29.155556,41.041249,29.270319,40.937479,60.000000,725.620000,785.620000,1534.730000
3,0,1,3,29.226936,40.898724,29.244091,40.980026,29.270319,40.937479,180.000000,641.235000,701.235000,1108.690000
