DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
1,0,2,4,29.442315,40.805331,29.250962,40.963022,28.851020,41.025410,60.000000,778.245000,838.245000,3160.590000
1,4,5,7,28.851020,41.025410,28.852149,41.108290,29.442315,40.805331,3280.590000,3685.195000,3745.195000,8660.725000
0,4,3,6,28.851020,41.025410,29.278775,40.977839,29.160179,41.171734,3220.590000,4520.785000,4580.785000,5716.275000
0,6,1,7,29.160179,41.171734,29.245976,40.969152,29.442315,40.805331,5776.275000,6772.290000,6832.290000,8630.725000
