DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
3,5,8,10,29.011909,41.082770,28.953842,41.018752,29.035352,40.986610,3197.655000,3635.795000,3695.795000,4530.995000
4,7,6,5,29.109232,41.124963,29.162126,41.176382,29.011909,41.082770,1804.900000,2268.105000,2328.105000,3025.870000
4,5,2,10,29.011909,41.082770,29.227840,40.987467,29.035352,40.986610,3085.870000,3768.035000,3828.035000,4560.995000
2,7,4,5,29.109232,41.124963,29.167862,41.205026,29.011909,41.082770,1744.900000,2337.235000,2397.235000,3227.655000
