
Gurobi 9.5.0 (win64) logging started Thu Apr  7 01:13:44 2022

Set parameter LogFile to value "..\NewModel\Data_12_5_5\Penalt_10Mins\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 23548 rows, 6057 columns and 778466 nonzeros
Model fingerprint: 0x81305f01
Variable types: 186 continuous, 5871 integer (5871 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [1e+00, 6e+02]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+05]
Found heuristic solution: objective 6600.0000000
Presolve added 0 rows and 26 columns
Presolve removed 1043 rows and 0 columns
Presolve time: 1.02s
Presolved: 22505 rows, 6083 columns, 582492 nonzeros
Extracted 6831 lazy constraints
Variable types: 168 continuous, 5915 integer (5915 binary)

Root relaxation: objective 7.842369e+02, 838 iterations, 0.09 seconds (0.18 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 43809  4949     cutoff   32      4425.34500 1200.00000  72.9%  36.9  262s
 44280  4987 infeasible   36      4425.34500 1200.00000  72.9%  37.1  265s
 44672  4981 infeasible   27      4425.34500 1200.00000  72.9%  37.3  270s
 45266  5283 1200.00000   30   26 4425.34500 1200.00000  72.9%  37.7  275s
 47943  5687 1509.84310   40   34 4425.34500 1200.00000  72.9%  37.4  285s
 50878  5695 1200.00000   41   23 4425.34500 1200.00000  72.9%  37.2  292s
 51162  5735 infeasible   39      4425.34500 1200.00000  72.9%  37.3  296s
 51706  6077 1200.00000   33   17 4425.34500 1200.00000  72.9%  37.7  301s
 53376  6029 infeasible   40      4425.34500 1200.00000  72.9%  37.4  305s
 54027  6052 1200.00000   38   28 4425.34500 1200.00000  72.9%  37.7  311s
 54493  6493 1200.00000   38   39 4425.34500 1200.00000  72.9%  38.1  318s
 57662  6477 1200.00000   50   52 4425.34500 1200.00000  72.9%  37.5  321s
 58053  6477 1200.00000   43   40 4425.34500 1200.00000  72.9%  37.7  325s
 59845  6569 infeasible   26      4425.34500 1200.00000  72.9%  38.0  334s
 60255  6586 infeasible   42      4425.34500 1200.00000  72.9%  38.2  338s
 61581  6922 1200.00000   35   88 4425.34500 1200.00000  72.9%  38.3  345s
 64648  6900 2405.11520   44   14 4425.34500 1200.00000  72.9%  37.9  353s
 65091  6981 1200.00000   30   25 4425.34500 1200.00000  72.9%  38.1  363s
 68239  6990 3576.22676   50   32 4425.34500 1200.00000  72.9%  38.1  366s
 68948  7419 1504.45518   42   32 4425.34500 1200.00000  72.9%  38.4  382s
 73254  7414 infeasible   40      4425.34500 1200.00000  72.9%  38.2  386s
 73556  7441 1200.00000   34   19 4425.34500 1200.00000  72.9%  38.3  390s
 73964  7748 1200.00000   33   35 4425.34500 1200.00000  72.9%  38.4  395s
 76190  7697 1200.00000   41   19 4425.34500 1200.00000  72.9%  38.4  403s
 76845  8059 1200.00000   35   33 4425.34500 1200.00000  72.9%  38.6  414s
 81405  8026 infeasible   43      4425.34500 1200.00000  72.9%  37.7  418s
 81849  8037 2142.73275   43   14 4425.34500 1200.00000  72.9%  37.8  421s
 82083  7986 infeasible   47      4425.34500 1200.00000  72.9%  37.9  425s
 82602  8031 1324.07195   50   35 4425.34500 1200.00000  72.9%  38.1  432s
 83423  8054 infeasible   40      4425.34500 1200.00000  72.9%  38.2  435s
 83827  8446 1681.89885   42   28 4425.34500 1200.00000  72.9%  38.5  441s
 86667  8413 infeasible   46      4425.34500 1200.00000  72.9%  38.3  448s
 87290  8801 1233.62725   26   31 4425.34500 1200.00000  72.9%  38.4  457s
 90883  8752 infeasible   42      4425.34500 1200.00000  72.9%  37.8  462s
H91216  8752                    4425.3449986 1200.00000  72.9%  37.9  462s
 91256  8662 1200.00000   29   44 4425.34500 1200.00000  72.9%  37.9  470s
 92272  8751 infeasible   35      4425.34500 1200.00000  72.9%  38.2  479s
 93611  9210 1200.00000   40   19 4425.34500 1200.00000  72.9%  38.5  483s
 95465  9201     cutoff   51      4425.34500 1200.00000  72.9%  38.3  486s
 95709  9173 infeasible   45      4425.34500 1200.00000  72.9%  38.5  490s
 96619  9165 1200.00000   47   39 4425.34500 1200.00000  72.9%  38.8  497s
 97100  9172 infeasible   44      4425.34500 1200.00000  72.9%  38.9  503s
 97985  9533 1257.01727   34   35 4425.34500 1200.00000  72.9%  39.5  509s
