
Gurobi 9.5.0 (win64) logging started Thu Apr  7 01:13:44 2022

Set parameter LogFile to value "..\NewModel\Data_12_5_5\Penalt_10Mins\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 23548 rows, 6057 columns and 778466 nonzeros
Model fingerprint: 0x81305f01
Variable types: 186 continuous, 5871 integer (5871 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [1e+00, 6e+02]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+05]
Found heuristic solution: objective 6600.0000000
Presolve added 0 rows and 26 columns
Presolve removed 1043 rows and 0 columns
Presolve time: 1.02s
Presolved: 22505 rows, 6083 columns, 582492 nonzeros
Extracted 6831 lazy constraints
Variable types: 168 continuous, 5915 integer (5915 binary)

Root relaxation: objective 7.842369e+02, 838 iterations, 0.09 seconds (0.18 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 397863 31818 infeasible   38      4425.34500 1200.00000  72.9%  35.2 1781s
 398301 31825 1200.00000   29   20 4425.34500 1200.00000  72.9%  35.3 1789s
 399861 32074 infeasible   51      4425.34500 1200.00000  72.9%  35.3 1797s
 401681 32057 1200.00000   34   13 4425.34500 1200.00000  72.9%  35.3 1801s
 402275 32323 1461.92928   48   29 4425.34500 1200.00000  72.9%  35.3 1807s
 404720 32314 infeasible   34      4425.34500 1200.00000  72.9%  35.3 1810s
 405481 32326 infeasible   46      4425.34500 1200.00000  72.9%  35.3 1817s
 406002 32264 infeasible   43      4425.34500 1200.00000  72.9%  35.3 1823s
 407043 33008 1200.00000   33   19 4425.34500 1200.00000  72.9%  35.4 1839s
 412809 32983 1200.00000   40   29 4425.34500 1200.00000  72.9%  35.2 1843s
 412996 33001 1200.00000   41   21 4425.34500 1200.00000  72.9%  35.3 1846s
 413629 32979 1282.70763   38   20 4425.34500 1200.00000  72.9%  35.3 1850s
 414076 33015     cutoff   30      4425.34500 1200.00000  72.9%  35.3 1858s
 415731 33134 infeasible   38      4425.34500 1200.00000  72.9%  35.3 1864s
 416496 33137 infeasible   57      4425.34500 1200.00000  72.9%  35.3 1868s
 417173 33185 1200.00000   42   32 4425.34500 1200.00000  72.9%  35.4 1871s
 417631 33247 infeasible   50      4425.34500 1200.00000  72.9%  35.4 1875s
 418890 33608 1310.72440   48   57 4425.34500 1200.00000  72.9%  35.4 1884s
 421568 33580 infeasible   52      4425.34500 1200.00000  72.9%  35.4 1889s
 421935 33594 infeasible   30      4425.34500 1200.00000  72.9%  35.4 1892s
 422421 33619 infeasible   40      4425.34500 1200.00000  72.9%  35.4 1896s
 423073 34255 1800.00000   51   15 4425.34500 1200.00000  72.9%  35.4 1902s
 426155 34250 infeasible   34      4425.34500 1200.00000  72.9%  35.4 1906s
 427094 34640 1800.00000   40   21 4425.34500 1200.00000  72.9%  35.4 1920s
 430996 34732 1800.00000   52   15 4425.34500 1200.00000  72.9%  35.5 1927s
 431372 34784 infeasible   58      4425.34500 1200.00000  72.9%  35.5 1933s
 431885 34767 infeasible   51      4425.34500 1200.00000  72.9%  35.5 1936s
 432430 35172 1879.24015   48   16 4425.34500 1200.00000  72.9%  35.5 1943s
 435100 35244 1200.00000   41   23 4425.34500 1200.00000  72.9%  35.5 1947s
 435552 35281 infeasible   46      4425.34500 1200.00000  72.9%  35.5 1951s
 436166 35582 1800.00000   43   18 4425.34500 1200.00000  72.9%  35.5 1959s
 438024 35567 1500.00000   45   51 4425.34500 1200.00000  72.9%  35.5 1962s
 438536 35599 1200.00000   37   44 4425.34500 1200.00000  72.9%  35.5 1967s
 438824 35601 infeasible   44      4425.34500 1200.00000  72.9%  35.5 1971s
 439901 36020 1200.00000   41   40 4425.34500 1200.00000  72.9%  35.6 1980s
 442567 36482 1200.00000   40   19 4425.34500 1200.00000  72.9%  35.6 1989s
 444946 36519 1800.00000   59   15 4425.34500 1200.00000  72.9%  35.6 1993s
 445118 36554 infeasible   61      4425.34500 1200.00000  72.9%  35.6 1996s
 445891 36602 infeasible   38      4425.34500 1200.00000  72.9%  35.6 2000s
 446569 37095 2302.03864   38   24 4425.34500 1200.00000  72.9%  35.6 2006s
 449515 37110 infeasible   39      4425.34500 1200.00000  72.9%  35.6 2010s
 450201 37560 3080.04719   45   22 4425.34500 1200.00000  72.9%  35.6 2016s
 452902 37581 1200.00000   48   45 4425.34500 1200.00000  72.9%  35.5 2020s
 453808 37617 infeasible   37      4425.34500 1200.00000  72.9%  35.6 2028s
 454547 38012 1524.67012   40   28 4425.34500 1200.00000  72.9%  35.6 2033s
 456585 38014 infeasible   35      4425.34500 1200.00000  72.9%  35.6 2037s
 456934 38052 infeasible   45      4425.34500 1200.00000  72.9%  35.6 2040s
 457722 38423 1200.00000   40   29 4425.34500 1200.00000  72.9%  35.6 2049s
 460334 38372 infeasible   33      4425.34500 1200.00000  72.9%  35.5 2053s
 460939 38385 1200.00000   49   22 4425.34500 1200.00000  72.9%  35.6 2056s
 461123 38435 1200.00000   43   34 4425.34500 1200.00000  72.9%  35.6 2060s
 462843 38587 infeasible   28      4425.34500 1200.00000  72.9%  35.6 2067s
 463514 39033 1312.88485   41   22 4425.34500 1200.00000  72.9%  35.6 2073s
 466338 39014 infeasible   45      4425.34500 1200.00000  72.9%  35.5 2077s
 466785 39047 infeasible   34      4425.34500 1200.00000  72.9%  35.5 2081s
 467469 39406 1200.00000   43   13 4425.34500 1200.00000  72.9%  35.6 2087s
 470318 39374 1620.37513   33   15 4425.34500 1200.00000  72.9%  35.5 2091s
 471125 39753 1200.00000   32   28 4425.34500 1200.00000  72.9%  35.5 2100s
 473947 39816 1298.57499   45   39 4425.34500 1200.00000  72.9%  35.5 2107s
 474363 40197 infeasible   35      4425.34500 1200.00000  72.9%  35.5 2114s
 477056 40204 infeasible   32      4425.34500 1200.00000  72.9%  35.5 2117s
 477460 40253 infeasible   37      4425.34500 1200.00000  72.9%  35.5 2120s
 478702 40575 1200.00000   36   34 4425.34500 1200.00000  72.9%  35.5 2131s
 480921 40597 1200.00000   40   13 4425.34500 1200.00000  72.9%  35.5 2135s
 482088 40958 1243.60741   57   39 4425.34500 1200.00000  72.9%  35.5 2143s
 483841 40935 1570.67148   35   39 4425.34500 1200.00000  72.9%  35.5 2147s
 484144 40953 infeasible   40      4425.34500 1200.00000  72.9%  35.5 2150s
 485880 41103 infeasible   48      4425.34500 1200.00000  72.9%  35.5 2157s
 486223 41110 1941.19559   40   16 4425.34500 1200.00000  72.9%  35.5 2160s
 486976 41082 infeasible   55      4425.34500 1200.00000  72.9%  35.6 2168s
 487684 41458 1200.00000   48   43 4425.34500 1200.00000  72.9%  35.6 2175s
 491172 41439 infeasible   39      4425.34500 1200.00000  72.9%  35.6 2182s
 491419 41422 infeasible   33      4425.34500 1200.00000  72.9%  35.6 2185s
 491865 41629 infeasible   49      4425.34500 1200.00000  72.9%  35.6 2193s
 493929 42054 1200.00000   34   21 4425.34500 1200.00000  72.9%  35.6 2199s
 496486 42233 3726.92388   48   33 4425.34500 1200.00000  72.9%  35.6 2205s
 498688 42276 infeasible   41      4425.34500 1200.00000  72.9%  35.6 2213s
 499253 42295 infeasible   37      4425.34500 1200.00000  72.9%  35.6 2219s
 499878 42620 1226.34677   36   17 4425.34500 1200.00000  72.9%  35.6 2225s
 502890 43011 4357.11000   41   15 4425.34500 1200.00000  72.9%  35.6 2237s
 506079 42987 1200.00000   30   18 4425.34500 1200.00000  72.9%  35.6 2241s
 507185 42973 infeasible   47      4425.34500 1200.00000  72.9%  35.6 2251s
 507673 42909 infeasible   43      4425.34500 1200.00000  72.9%  35.6 2255s
 508793 42873 infeasible   41      4425.34500 1200.00000  72.9%  35.7 2265s
 510062 43445 1800.00000   51   13 4425.34500 1200.00000  72.9%  35.7 2277s
 514562 43449 1200.00000   40   25 4425.34500 1200.00000  72.9%  35.6 2281s
 515041 43426 1800.00000   46   15 4425.34500 1200.00000  72.9%  35.7 2285s
 515628 43679 2455.40926   39   26 4425.34500 1200.00000  72.9%  35.7 2292s
 518409 43719 infeasible   41      4425.34500 1200.00000  72.9%  35.7 2296s
 518720 43729 infeasible   47      4425.34500 1200.00000  72.9%  35.7 2300s
 519344 43897 infeasible   44      4425.34500 1200.00000  72.9%  35.7 2305s
 521746 44067 1200.00000   33   20 4425.34500 1200.00000  72.9%  35.7 2317s
 523676 44085 1200.00000   48   58 4425.34500 1200.00000  72.9%  35.7 2320s
H523987 44085                    4425.3449943 1200.00000  72.9%  35.7 2320s
 524488 44046 1200.00000   52   59 4425.34499 1200.00000  72.9%  35.7 2327s
 525066 44098 1200.00000   29   37 4425.34499 1200.00000  72.9%  35.7 2332s
 525791 44539 1800.00000   43   15 4425.34499 1200.00000  72.9%  35.8 2338s
 528172 44557 infeasible   45      4425.34499 1200.00000  72.9%  35.7 2342s
 528653 44792 1422.98640   40   24 4425.34499 1200.00000  72.9%  35.8 2347s
 530448 44786 1200.00000   33   19 4425.34499 1200.00000  72.9%  35.7 2351s
 531522 45040 1200.00000   38   34 4425.34499 1200.00000  72.9%  35.8 2363s
 533272 45043 infeasible   40      4425.34499 1200.00000  72.9%  35.8 2366s
 534368 45445 1404.56575   49   45 4425.34499 1200.00000  72.9%  35.8 2374s
 536420 45413 infeasible   40      4425.34499 1200.00000  72.9%  35.8 2378s
 536962 45371 1200.00000   44   31 4425.34499 1200.00000  72.9%  35.8 2383s
 537713 45666 1200.00000   34   14 4425.34499 1200.00000  72.9%  35.8 2393s
 541096 45632 3168.31025   40   15 4425.34499 1200.00000  72.9%  35.7 2397s
 541817 45620 infeasible   37      4425.34499 1200.00000  72.9%  35.8 2400s
 542442 45898 1800.00000   45   10 4425.34499 1200.00000  72.9%  35.8 2408s
 544872 45909 infeasible   38      4425.34499 1200.00000  72.9%  35.8 2411s
 545278 45887 infeasible   34      4425.34499 1200.00000  72.9%  35.8 2415s
 545860 45908 1200.00000   31   35 4425.34499 1200.00000  72.9%  35.8 2421s
 546986 46368 1800.00000   45   18 4425.34499 1200.00000  72.9%  35.8 2437s
 550495 46338 infeasible   39      4425.34499 1200.00000  72.9%  35.8 2441s
 550857 46291 1200.00000   41   19 4425.34499 1200.00000  72.9%  35.8 2445s
 552332 46244 2208.95477   40   15 4425.34499 1200.00000  72.9%  35.8 2454s
 553005 46789 1200.00000   36   11 4425.34499 1200.00000  72.9%  35.9 2464s
 556802 46745 infeasible   43      4425.34499 1200.00000  72.9%  35.8 2467s
 557258 46634 infeasible   36      4425.34499 1200.00000  72.9%  35.8 2475s
 558439 46656 1200.00000   38   29 4425.34499 1200.00000  72.9%  35.8 2486s
 562457 46599 infeasible   45      4425.34499 1200.00000  72.9%  35.8 2492s
 562863 46586 infeasible   39      4425.34499 1200.00000  72.9%  35.8 2495s
 563579 46503 1200.00000   27   13 4425.34499 1200.00000  72.9%  35.8 2501s
 564862 46471 infeasible   37      4425.34499 1200.00000  72.9%  35.8 2507s
 565292 46835 2526.75009   39   22 4425.34499 1200.00000  72.9%  35.8 2514s
 568452 46808 3446.14000   38    5 4425.34499 1200.00000  72.9%  35.8 2519s
 568966 46779 3308.11320   43   16 4425.34499 1200.00000  72.9%  35.8 2525s
 569686 47224 1200.00000   47   23 4425.34499 1200.00000  72.9%  35.8 2542s
 574882 47183 infeasible   47      4425.34499 1200.00000  72.9%  35.7 2546s
 575207 47106 1200.00000   46   49 4425.34499 1200.00000  72.9%  35.7 2556s
 576743 47070 1200.00000   42   15 4425.34499 1200.00000  72.9%  35.8 2563s
 577605 47497 1591.16703   43   39 4425.34499 1200.00000  72.9%  35.8 2576s
 581442 47482 infeasible   38      4425.34499 1200.00000  72.9%  35.7 2580s
 581534 47458 infeasible   39      4425.34499 1200.00000  72.9%  35.7 2586s
 582401 47407 1200.00000   38   10 4425.34499 1200.00000  72.9%  35.8 2596s
 582957 47341 1200.00000   40   29 4425.34499 1200.00000  72.9%  35.8 2605s
 584771 47323 1200.00000   40   21 4425.34499 1200.00000  72.9%  35.8 2614s
 585515 47249 infeasible   37      4425.34499 1200.00000  72.9%  35.8 2620s
 586216 47196 infeasible   30      4425.34499 1200.00000  72.9%  35.9 2627s
 587032 47520 1200.00000   42   19 4425.34499 1200.00000  72.9%  35.9 2639s
 588640 47520 2039.15469   51    9 4425.34499 1200.00000  72.9%  35.8 2640s
 592053 47239 infeasible   47      4425.34499 1200.00000  72.9%  35.8 2655s
 593892 47543 1200.00000   38   18 4425.34499 1200.00000  72.9%  35.8 2665s
 597601 47506 infeasible   35      4425.34499 1200.00000  72.9%  35.7 2671s
 598071 47387 infeasible   34      4425.34499 1200.00000  72.9%  35.8 2681s
 599433 47301 infeasible   48      4425.34499 1200.00000  72.9%  35.8 2689s
 600789 47571 1200.00000   47   27 4425.34499 1200.00000  72.9%  35.9 2704s
 606022 47489 infeasible   45      4425.34499 1200.00000  72.9%  35.7 2709s
 606363 47271 infeasible   40      4425.34499 1200.00000  72.9%  35.7 2720s
 607921 47499 1290.98076   38   22 4425.34499 1200.00000  72.9%  35.8 2740s
 612710 47451 1412.56059   41   16 4425.34499 1200.00000  72.9%  35.8 2750s
 613135 47446 1200.00000   27   11 4425.34499 1200.00000  72.9%  35.8 2758s
 614494 47919 infeasible   46      4425.34499 1200.00000  72.9%  35.8 2770s
 619373 47894 1200.00000   35   26 4425.34499 1200.00000  72.9%  35.7 2775s
 619924 47838 infeasible   39      4425.34499 1200.00000  72.9%  35.7 2781s
 620917 47803 infeasible   39      4425.34499 1200.00000  72.9%  35.7 2788s
 621939 48051 1273.16403   41   16 4425.34499 1200.00000  72.9%  35.7 2798s
 626057 47953 infeasible   42      4425.34499 1200.00000  72.9%  35.6 2803s
 626509 47846 infeasible   39      4425.34499 1200.00000  72.9%  35.6 2810s
 627557 47798 1200.00000   46   24 4425.34499 1200.00000  72.9%  35.6 2817s
 628482 47992 1200.00000   31   16 4425.34499 1200.00000  72.9%  35.7 2827s
 631188 47988 infeasible   48      4425.34499 1200.00000  72.9%  35.7 2831s
 632203 47926 1200.00000   39    7 4425.34499 1200.00000  72.9%  35.7 2839s
 632875 48209 1200.00000   49   32 4425.34499 1200.00000  72.9%  35.7 2848s
 634280 48209 infeasible   50      4425.34499 1200.00000  72.9%  35.7 2852s
 634833 48210 infeasible   39      4425.34499 1200.00000  72.9%  35.7 2856s
 635111 48163 1200.00000   44   15 4425.34499 1200.00000  72.9%  35.8 2860s
 635657 48143 infeasible   55      4425.34499 1200.00000  72.9%  35.8 2866s
 636401 48152 infeasible   49      4425.34499 1200.00000  72.9%  35.8 2872s
 637388 48818 1200.00000   38   15 4425.34499 1200.00000  72.9%  35.8 2885s
 641833 48815 infeasible   42      4425.34499 1200.00000  72.9%  35.8 2892s
 642274 48796 1200.00000   44   25 4425.34499 1200.00000  72.9%  35.8 2897s
 642773 48758 infeasible   40      4425.34499 1200.00000  72.9%  35.9 2904s
 643850 49278 1200.00000   46   28 4425.34499 1200.00000  72.9%  35.9 2918s
 648614 49249 infeasible   54      4425.34499 1200.00000  72.9%  35.8 2922s
 648935 49218 infeasible   49      4425.34499 1200.00000  72.9%  35.8 2926s
 649200 49164 infeasible   46      4425.34499 1200.00000  72.9%  35.9 2938s
 650531 49417 1200.00000   55   29 4425.34499 1200.00000  72.9%  36.0 2950s
 652146 49391 infeasible   52      4425.34499 1200.00000  72.9%  36.0 2957s
 652393 49387 infeasible   44      4425.34499 1200.00000  72.9%  36.0 2961s
 652645 49358 infeasible   53      4425.34499 1200.00000  72.9%  36.0 2965s
 652958 49279 1200.00000   41   17 4425.34499 1200.00000  72.9%  36.0 2978s
 654358 49921 1200.00000   61   34 4425.34499 1200.00000  72.9%  36.1 2997s
 660310 49862 infeasible   63      4425.34499 1200.00000  72.9%  36.1 3002s
 660718 49814 infeasible   56      4425.34499 1200.00000  72.9%  36.1 3010s
 661649 49996 1200.00000   55   37 4425.34499 1200.00000  72.9%  36.2 3022s
 664665 49997 infeasible   54      4425.34499 1200.00000  72.9%  36.2 3027s
 664837 50039 infeasible   53      4425.34499 1200.00000  72.9%  36.2 3031s
 665506 50072 infeasible   65      4425.34499 1200.00000  72.9%  36.3 3038s
 665867 50067 1200.00000   59   32 4425.34499 1200.00000  72.9%  36.3 3042s
 666567 50053 1323.39180   53   19 4425.34499 1200.00000  72.9%  36.3 3046s
 667335 50022 1200.00000   41   12 4425.34499 1200.00000  72.9%  36.3 3051s
 667749 50082 infeasible   52      4425.34499 1200.00000  72.9%  36.3 3057s
 669042 50268 2413.65427   54   24 4425.34499 1200.00000  72.9%  36.4 3062s
 670790 50249 1200.00000   49   29 4425.34499 1200.00000  72.9%  36.4 3067s
 670978 50172 infeasible   52      4425.34499 1200.00000  72.9%  36.4 3070s
 671376 50027 infeasible   58      4425.34499 1200.00000  72.9%  36.4 3078s
 672460 50164 2980.44514   53   15 4425.34499 1200.00000  72.9%  36.5 3088s
 674419 50142 1200.00000   36   27 4425.34499 1200.00000  72.9%  36.5 3092s
 674886 50254 1293.90575   40   13 4425.34499 1200.00000  72.9%  36.5 3097s
 676352 50240 infeasible   60      4425.34499 1200.00000  72.9%  36.5 3101s
 676562 50211 infeasible   63      4425.34499 1200.00000  72.9%  36.6 3105s
 677164 50447 1200.00000   47   15 4425.34499 1200.00000  72.9%  36.6 3114s
 679033 50417 infeasible   53      4425.34499 1200.00000  72.9%  36.6 3119s
 679530 50375 infeasible   45      4425.34499 1200.00000  72.9%  36.6 3123s
 679977 50397 2441.26500   53   20 4425.34499 1200.00000  72.9%  36.6 3130s
 681147 50755 infeasible   46      4425.34499 1200.00000  72.9%  36.6 3139s
 683635 50702 infeasible   45      4425.34499 1200.00000  72.9%  36.6 3143s
 684155 50679 3401.75427   39   19 4425.34499 1200.00000  72.9%  36.6 3150s
 685130 51098 1200.00000   48   27 4425.34499 1200.00000  72.9%  36.6 3163s
 689911 51007 infeasible   48      4425.34499 1200.00000  72.9%  36.5 3168s
 690428 50967 infeasible   55      4425.34499 1200.00000  72.9%  36.6 3174s
 691153 50987 1221.38840   40   47 4425.34499 1200.00000  72.9%  36.6 3185s
 694404 50956 infeasible   34      4425.34499 1200.00000  72.9%  36.6 3193s
 694942 51121 1200.00000   30   17 4425.34499 1200.00000  72.9%  36.6 3200s
 696220 51114 infeasible   40      4425.34499 1200.00000  72.9%  36.6 3208s
 696541 51137 1200.00000   52   35 4425.34499 1200.00000  72.9%  36.6 3212s
 696827 51145 infeasible   53      4425.34499 1200.00000  72.9%  36.6 3215s
 697176 51254 1373.61802   50   33 4425.34499 1200.00000  72.9%  36.7 3220s
 698810 51269 1200.00000   58   25 4425.34499 1200.00000  72.9%  36.7 3228s
 699287 51236 infeasible   40      4425.34499 1200.00000  72.9%  36.7 3232s
 699746 51322 1200.00000   49   35 4425.34499 1200.00000  72.9%  36.7 3241s
 702130 51308 1200.00000   45    8 4425.34499 1200.00000  72.9%  36.7 3245s
 702787 51310 4324.64000   51   33 4425.34499 1200.00000  72.9%  36.8 3258s
 703073 51134 1200.00000   48   15 4425.34499 1200.00000  72.9%  36.8 3279s
 705600 51522 1200.00000   49   16 4425.34499 1200.00000  72.9%  36.9 3298s
 711606 51767 1200.00000   41   25 4425.34499 1200.00000  72.9%  36.8 3306s
 714330 51719 infeasible   40      4425.34499 1200.00000  72.9%  36.7 3311s
 714509 51527 1200.00000   41   39 4425.34499 1200.00000  72.9%  36.7 3334s
 717177 51527 infeasible   47      4425.34499 1200.00000  72.9%  36.8 3335s
 717537 51800 1200.00000   42   18 4425.34499 1200.00000  72.9%  36.9 3346s
 721144 52137 infeasible   50      4425.34499 1200.00000  72.9%  36.8 3355s
 725088 52057 infeasible   38      4425.34499 1200.00000  72.9%  36.7 3365s
 725883 52482 1200.00000   48   17 4425.34499 1200.00000  72.9%  36.7 3383s
 729904 52439 1200.00000   44   33 4425.34499 1200.00000  72.9%  36.7 3388s
 730376 52455 1200.00000   47   18 4425.34499 1200.00000  72.9%  36.7 3396s
 731705 52458 1200.00000   45   47 4425.34499 1200.00000  72.9%  36.7 3403s
 732344 52490 infeasible   47      4425.34499 1200.00000  72.9%  36.8 3407s
 733168 52653 4412.39440   55   13 4425.34499 1200.00000  72.9%  36.8 3412s
 733882 52627 1352.52135   36   11 4425.34499 1200.00000  72.9%  36.8 3416s
 734418 52591 2279.58895   39   23 4425.34499 1200.00000  72.9%  36.8 3420s
 735009 53457 1362.89314   51   20 4425.34499 1200.00000  72.9%  36.8 3435s
 740155 53457 1200.00000   47   36 4425.34499 1200.00000  72.9%  36.7 3445s
 741331 53438 1200.00000   45   26 4425.34499 1200.00000  72.9%  36.7 3452s
 741610 53402 1200.00000   35   19 4425.34499 1200.00000  72.9%  36.7 3457s
 742169 53349 infeasible   31      4425.34499 1200.00000  72.9%  36.7 3465s
 743394 53313 infeasible   33      4425.34499 1200.00000  72.9%  36.8 3471s
 744548 53646 1200.00000   39   20 4425.34499 1200.00000  72.9%  36.8 3478s
 746860 53642 infeasible   53      4425.34499 1200.00000  72.9%  36.7 3482s
 747221 53665 1200.00000   28   10 4425.34499 1200.00000  72.9%  36.7 3486s
 747623 53602 infeasible   34      4425.34499 1200.00000  72.9%  36.7 3491s
 748354 53748 1430.23750   43   14 4425.34499 1200.00000  72.9%  36.7 3498s
 750755 53686 infeasible   38      4425.34499 1200.00000  72.9%  36.7 3503s
 751400 53629 infeasible   33      4425.34499 1200.00000  72.9%  36.7 3511s
 753156 53729 1200.00000   32   33 4425.34499 1200.00000  72.9%  36.7 3518s
 755653 53713 1200.00000   38   33 4425.34499 1200.00000  72.9%  36.7 3522s
 756040 53608 1200.00000   34   30 4425.34499 1200.00000  72.9%  36.7 3533s
 757495 53904 1200.48133   45   22 4425.34499 1200.00000  72.9%  36.7 3548s
 760494 53871 1200.00000   45   19 4425.34499 1200.00000  72.9%  36.7 3553s
 761015 53788 infeasible   47      4425.34499 1200.00000  72.9%  36.7 3560s
 761928 53682 1200.00000   38   26 4425.34499 1200.00000  72.9%  36.7 3568s
 763212 53666 1921.73230   47   18 4425.34499 1200.00000  72.9%  36.7 3576s
 764315 53953     cutoff   43      4425.34499 1200.00000  72.9%  36.7 3591s
 769232 53904 1200.00000   35   28 4425.34499 1200.00000  72.9%  36.6 3596s
 769681 53857 infeasible   42      4425.34499 1200.00000  72.9%  36.6 3600s

Cutting planes:
  Learned: 4
  Gomory: 10
  Lift-and-project: 1
  Cover: 146
  Implied bound: 342
  Projected implied bound: 8
  Clique: 2
  MIR: 86
  StrongCG: 4
  Flow cover: 256
  GUB cover: 1
  Inf proof: 88
  Zero half: 1
  RLT: 15
  Relax-and-lift: 48
  Lazy constraints: 6

Explored 770369 nodes (28250540 simplex iterations) in 3600.14 seconds (5039.51 work units)
Thread count was 12 (of 12 available processors)

Solution count 9: 4425.34 4425.34 4425.34 ... 6600

Time limit reached
Best objective 4.425344994272e+03, best bound 1.200000000000e+03, gap 72.8835%
Warning: variables 153 and 244 have the same name "p_111"
Warning: constraint name "Customer Service Link 1" has a space
Warning: to let Gurobi read it back, use rlp format
Warning: variables 153 and 244 have the same name "p_111"
Warning: constraint name "Customer Service Link 1" has a space
Warning: to let Gurobi read it back, use rlp format
