DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
3,7,8,10,28.820287,41.039158,28.853122,41.022436,28.708302,41.028654,1428.590000,1701.345000,1761.345000,2952.789946
1,7,3,10,28.820287,41.039158,28.763392,41.036689,28.708302,41.028654,1578.589946,1951.139946,2011.139946,2922.789946
0,7,4,10,28.820287,41.039158,28.951533,41.024870,28.708302,41.028654,1518.590000,2083.675000,2143.675000,2982.789946
0,0,6,7,28.708302,41.028654,28.899415,40.992468,28.820287,41.039158,60.000000,822.830000,882.830000,1458.590000
