DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
0,0,6,8,29.281065,40.949782,29.210152,41.009734,29.281065,40.949782,180.000000,629.230000,689.230000,1498.765000
4,0,4,8,29.281065,40.949782,29.369938,40.791902,29.281065,40.949782,60.000000,713.610000,773.610000,1558.765000
2,0,2,8,29.281065,40.949782,29.269837,40.989924,29.281065,40.949782,854.465000,1125.565000,1185.565000,1468.765000
1,0,5,8,29.281065,40.949782,29.106361,40.970183,29.281065,40.949782,120.000000,788.635000,848.635000,1528.765000
