DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
3,7,4,10,28.820287,41.039158,28.951533,41.024870,28.708302,41.028654,3535.030000,4100.115000,4160.115000,5029.167199
3,9,3,7,28.674086,41.156142,28.763392,41.036689,28.820287,41.039158,1953.980000,2762.325000,2822.325000,3475.030000
1,7,8,10,28.820287,41.039158,28.853122,41.022436,28.708302,41.028654,3685.030000,3957.785000,4017.785000,4999.230409
0,7,6,10,28.820287,41.039158,28.899415,40.992468,28.708302,41.028654,3625.030000,4131.235000,4191.235000,5059.229795
