DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
0,7,10,11,29.124343,41.139730,29.219816,40.958295,29.139039,40.969049,3486.680000,4251.050000,4311.050000,4904.548212
0,3,1,7,28.955996,41.065625,29.164102,41.185433,29.124343,41.139730,1868.190000,2819.320000,2879.320000,3426.673858
1,7,5,11,29.124343,41.139730,29.259612,40.985254,29.139039,40.969049,3366.680000,4177.560000,4237.560000,4874.550059
1,3,4,7,28.955996,41.065625,29.125890,40.954389,29.124343,41.139730,1778.190000,2542.695000,2602.695000,3306.680000
