DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
3,1,3,2,29.244091,40.980026,29.270319,40.937479,29.155556,41.041249,1072.470000,1413.000000,1473.000000,2220.460000
4,1,8,2,29.244091,40.980026,29.283797,40.967855,29.155556,41.041249,1132.470000,1459.550000,1519.550000,2250.460000
4,2,7,9,29.155556,41.041249,28.973859,41.023961,28.907790,41.008608,2340.460000,3063.160000,3123.160000,3856.920000
4,0,4,1,29.226936,40.898724,29.262520,40.975326,29.244091,40.980026,60.000000,536.735000,596.735000,1012.470000
