DroneIndex,iIndex,jIndex,kIndex,iX,iY,jX,jY,kX,kY,Launch[i],Arrival[j],Launch[j],Retrieval[k]
1,7,4,5,29.109232,41.124963,29.167862,41.205026,29.011909,41.082770,4265.459998,4857.794998,4917.794998,5748.214998
1,5,8,10,29.011909,41.082770,28.953842,41.018752,29.035352,40.986610,5808.214998,6246.354998,6306.354998,7141.554998
0,7,6,5,29.109232,41.124963,29.162126,41.176382,29.011909,41.082770,4383.024998,4846.229998,4906.229998,5599.989998
0,5,2,10,29.011909,41.082770,29.227840,40.987467,29.035352,40.986610,5659.989998,6342.154998,6402.154998,7111.554998
